"decmal year", "x utm", "y utm", "bottom depth(m)","Scallops per sq m"
2012.5, 554645.779053, 4197806.405646, 61.480913, 0.000000e+00
2012.5, 554746.537796, 4218115.701449, 43.039655, 0.000000e+00
2012.5, 554841.261034, 4183879.569701, 65.562740, 8.396947e-01
2012.5, 554896.294498, 4203405.851768, 58.452332, 2.572623e-01
2012.5, 554932.999807, 4183996.946807, 65.773224, 0.000000e+00
2012.5, 554954.781267, 4260785.181856, 43.716490, 0.000000e+00
2012.5, 555070.695886, 4197455.807616, 61.002275, 0.000000e+00
2012.5, 555191.162396, 4184342.841090, 66.074276, 0.000000e+00
2012.5, 555230.057112, 4197328.215024, 61.284852, 0.000000e+00
2012.5, 555261.076541, 4184444.940565, 65.925367, 1.447661e+00
2012.5, 555319.772461, 4217636.344295, 42.994200, 1.551061e-01
2012.5, 555583.285066, 4260330.114786, 43.288580, 0.000000e+00
2012.5, 555593.986465, 4197028.461917, 62.902275, 0.000000e+00
2012.5, 555602.965796, 4203405.929551, 58.782996, 0.000000e+00
2012.5, 555632.479003, 4185019.940666, 65.619662, 1.060752e+00
2012.5, 555767.378525, 4185260.744402, 65.381863, 0.000000e+00
2012.5, 555843.916966, 4196815.533384, 63.760304, 1.265823e-01
2012.5, 555853.534078, 4217188.379550, 41.345778, 1.970825e-01
2012.5, 556050.627491, 4185749.857708, 63.963327, 1.070473e+00
2012.5, 556094.801288, 4185822.596627, 63.731419, 0.000000e+00
2012.5, 556195.246224, 4259881.000452, 47.682479, 0.000000e+00
2012.5, 556290.864477, 4196475.562878, 64.364225, 0.000000e+00
2012.5, 556316.810277, 4203399.858447, 59.253249, 1.624778e-01
2012.5, 556387.985837, 4186352.283258, 64.878642, 1.201923e-01
2012.5, 556429.330552, 4216705.239021, 38.662497, 0.000000e+00
2012.5, 556433.290882, 4196379.383050, 64.528206, 0.000000e+00
2012.5, 556435.393522, 4186399.115415, 64.830459, 0.000000e+00
2012.5, 556601.959176, 4187081.472103, 69.367675, 9.205984e-01
2012.5, 556632.618074, 4187237.625897, 69.930170, 0.000000e+00
2012.5, 556729.593903, 4187737.247373, 70.129596, 0.000000e+00
2012.5, 556743.386056, 4187812.596497, 70.562034, 0.000000e+00
2012.5, 556746.173377, 4259479.538094, 47.000403, 0.000000e+00
2012.5, 556852.352348, 4196098.031603, 64.943294, 0.000000e+00
2012.5, 557042.535384, 4216184.598071, 42.843928, 0.000000e+00
2012.5, 557076.872806, 4195950.508585, 65.270667, 9.671180e-02
2012.5, 557086.645973, 4203395.814819, 60.112392, 0.000000e+00
2012.5, 557328.735687, 4259047.886914, 42.430856, 0.000000e+00
2012.5, 557613.954392, 4195607.921652, 67.089643, 0.000000e+00
2012.5, 557645.352080, 4215680.937860, 48.361347, 0.000000e+00
2012.5, 557658.293617, 4195580.403550, 66.987639, 1.290323e-01
2012.5, 557794.171661, 4203400.784703, 60.707230, 3.370927e-01
2012.5, 557913.592103, 4190752.838764, 66.488210, 0.000000e+00
2012.5, 557946.465293, 4258554.638839, 39.739106, 0.000000e+00
2012.5, 557948.244457, 4190874.724822, 66.224433, 0.000000e+00
2012.5, 558100.116113, 4191330.032419, 66.102459, 1.013942e+00
2012.5, 558109.964882, 4195288.999951, 68.007937, 0.000000e+00
2012.5, 558158.455045, 4215253.352654, 48.813187, 1.885166e-01
2012.5, 558166.874268, 4191533.948058, 65.640414, 3.247066e-01
2012.5, 558294.449382, 4191935.115686, 65.752939, 2.076843e-01
2012.5, 558298.117807, 4195167.150330, 68.019687, 0.000000e+00
2012.5, 558430.243741, 4192364.965960, 67.677652, 0.000000e+00
2012.5, 558508.212990, 4258094.280650, 41.385577, 0.000000e+00
2012.5, 558508.424790, 4203415.624197, 60.769915, 0.000000e+00
2012.5, 558531.697804, 4192674.299918, 68.709700, 0.000000e+00
2012.5, 558667.225865, 4193094.456253, 69.561771, 0.000000e+00
2012.5, 558727.367371, 4214778.546875, 47.445025, 0.000000e+00
2012.5, 558806.578323, 4193469.685409, 69.991156, 0.000000e+00
2012.5, 558816.357815, 4193506.865510, 70.082994, 0.000000e+00
2012.5, 558947.027162, 4194735.263281, 68.158618, 0.000000e+00
2012.5, 558976.040075, 4194706.406930, 68.260895, 0.000000e+00
2012.5, 559039.115070, 4194042.382852, 69.946364, 0.000000e+00
2012.5, 559129.679550, 4257587.682972, 46.047289, 0.000000e+00
2012.5, 559130.937394, 4194330.904815, 69.596814, 0.000000e+00
2012.5, 559356.962260, 4214257.804850, 47.461365, 0.000000e+00
2012.5, 559365.666571, 4203434.783747, 62.036145, 1.275052e-01
2012.5, 559569.361530, 4234948.965741, 49.114545, 0.000000e+00
2012.5, 559692.385484, 4257128.596577, 44.136853, 0.000000e+00
2012.5, 559899.315596, 4234711.421643, 50.020386, 0.000000e+00
2012.5, 559958.700678, 4213798.466087, 50.667734, 0.000000e+00
2012.5, 560095.222890, 4203450.659216, 63.547216, 0.000000e+00
2012.5, 560300.008684, 4256643.395692, 41.625958, 1.597444e-01
2012.5, 560494.322252, 4234278.364706, 50.281371, 0.000000e+00
2012.5, 560499.665261, 4213436.393163, 53.802243, 0.000000e+00
2012.5, 560807.508676, 4203465.031146, 64.920479, 0.000000e+00
2012.5, 560823.576325, 4256218.786841, 41.725926, 1.371742e-01
