UTM-X,UTM-Y,Depth,Lat,Lon
476424,4.47E+06,80.3337,40.376,-69.2777
526428,4.46E+06,94.116,40.3259,-68.6889
441236,4.47E+06,70.425,40.4076,-69.6926
459756,4.47E+06,69.7006,40.392,-69.4742
494944,4.47E+06,86.3512,40.3596,-69.0596
511612,4.47E+06,87.0913,40.3429,-68.8633
478276,4.47E+06,81.4941,40.376,-69.2559
528280,4.46E+06,97.3495,40.3258,-68.6671
443088,4.47E+06,69.4918,40.4078,-69.6707
461608,4.47E+06,71.6204,40.3921,-69.4524
496796,4.47E+06,84.8566,40.3596,-69.0377
480128,4.47E+06,80.8117,40.3761,-69.2341
513464,4.47E+06,88.5161,40.3429,-68.8415
444940,4.47E+06,68.0117,40.4079,-69.6489
463460,4.47E+06,71.7203,40.3922,-69.4305
530132,4.46E+06,100.729,40.3257,-68.6453
498648,4.47E+06,85.4955,40.3596,-69.0159
481980,4.47E+06,81.5218,40.3761,-69.2123
515316,4.47E+06,89.1278,40.3428,-68.8197
446792,4.47E+06,67.0557,40.408,-69.6271
465312,4.47E+06,73.8407,40.3923,-69.4087
500500,4.47E+06,84.373,40.3596,-68.9941
483832,4.47E+06,82.0966,40.3762,-69.1905
517168,4.47E+06,89.505,40.3428,-68.7979
448644,4.47E+06,66.5194,40.4081,-69.6053
467164,4.47E+06,73.2242,40.3924,-69.3869
502352,4.47E+06,84.7331,40.3596,-68.9723
485684,4.47E+06,83.0654,40.3762,-69.1686
450496,4.47E+06,66.1807,40.4082,-69.5834
519020,4.47E+06,87.8522,40.3427,-68.7761
431976,4.48E+06,75.1195,40.4236,-69.8019
469016,4.47E+06,76.1761,40.3924,-69.3651
504204,4.47E+06,84.714,40.3596,-68.9505
487536,4.47E+06,84.2982,40.3762,-69.1468
452348,4.47E+06,65.1946,40.4083,-69.5616
433828,4.48E+06,74.1844,40.4238,-69.7801
520872,4.47E+06,88.6471,40.3427,-68.7543
470868,4.47E+06,77.5008,40.3925,-69.3433
415308,4.48E+06,75.0409,40.4388,-69.9986
454200,4.47E+06,65.1251,40.4084,-69.5398
489388,4.47E+06,85.5631,40.3763,-69.125
435680,4.48E+06,73.1702,40.4239,-69.7582
506056,4.47E+06,84.6149,40.3596,-68.9287
472720,4.47E+06,79.3224,40.3926,-69.3214
522724,4.47E+06,93.0212,40.3427,-68.7324
417160,4.48E+06,74.9353,40.4389,-69.9768
456052,4.47E+06,65.8603,40.4085,-69.518
437532,4.48E+06,72.5479,40.424,-69.7364
491240,4.47E+06,85.097,40.3763,-69.1032
507908,4.47E+06,85.7271,40.3596,-68.9069
474572,4.47E+06,78.4216,40.3926,-69.2996
419012,4.48E+06,75.2421,40.4391,-69.9549
524576,4.47E+06,94.5946,40.3426,-68.7106
439384,4.48E+06,71.9583,40.4242,-69.7146
457904,4.47E+06,66.9691,40.4086,-69.4961
493092,4.47E+06,86.9126,40.3763,-69.0814
509760,4.47E+06,86.2846,40.3596,-68.8851
420864,4.48E+06,75.1367,40.4393,-69.9331
476424,4.47E+06,80.5132,40.3927,-69.2778
526428,4.47E+06,91.0826,40.3425,-68.6888
441236,4.48E+06,70.6413,40.4243,-69.6927
459756,4.47E+06,67.0131,40.4087,-69.4743
494944,4.47E+06,84.412,40.3763,-69.0596
511612,4.47E+06,86.1418,40.3596,-68.8632
478276,4.47E+06,80.0587,40.3927,-69.256
528280,4.47E+06,97.0014,40.3425,-68.667
443088,4.48E+06,69.6845,40.4244,-69.6709
461608,4.47E+06,69.8467,40.4088,-69.4525
496796,4.47E+06,84.0947,40.3763,-69.0377
480128,4.47E+06,79.0889,40.3928,-69.2342
513464,4.47E+06,89.5769,40.3595,-68.8414
444940,4.48E+06,68.2689,40.4246,-69.6491
463460,4.47E+06,69.5092,40.4089,-69.4307
530132,4.47E+06,98.5137,40.3424,-68.6452
498648,4.47E+06,82.9309,40.3763,-69.0159
481980,4.47E+06,80.5204,40.3928,-69.2123
515316,4.47E+06,87.924,40.3595,-68.8196
446792,4.48E+06,67.6837,40.4247,-69.6272
465312,4.47E+06,72.5331,40.409,-69.4088
531984,4.47E+06,98.1742,40.3423,-68.6234
500500,4.47E+06,82.7985,40.3763,-68.9941
483832,4.47E+06,81.4969,40.3929,-69.1905
517168,4.47E+06,88.125,40.3595,-68.7978
448644,4.48E+06,66.4402,40.4248,-69.6054
430124,4.48E+06,74.8584,40.4401,-69.8239
467164,4.47E+06,73.0434,40.4091,-69.387
533836,4.47E+06,98.7971,40.3423,-68.6016
502352,4.47E+06,84.2374,40.3763,-68.9723
485684,4.47E+06,82.6417,40.3929,-69.1687
450496,4.48E+06,66.2478,40.4249,-69.5836
519020,4.47E+06,88.0964,40.3594,-68.776
431976,4.48E+06,74.1905,40.4403,-69.8021
469016,4.47E+06,75.3664,40.4091,-69.3652
504204,4.47E+06,83.2835,40.3763,-68.9505
487536,4.47E+06,82.6361,40.3929,-69.1469
452348,4.48E+06,64.4665,40.425,-69.5618
433828,4.48E+06,73.6251,40.4404,-69.7803
520872,4.47E+06,88.3068,40.3594,-68.7542
470868,4.47E+06,76.9486,40.4092,-69.3433
415308,4.48E+06,72.9791,40.4554,-69.9988
454200,4.48E+06,64.5806,40.4251,-69.5399
489388,4.47E+06,83.565,40.3929,-69.125
435680,4.48E+06,72.6425,40.4406,-69.7584
506056,4.47E+06,84.1452,40.3763,-68.9287
472720,4.47E+06,78.1599,40.4093,-69.3215
522724,4.47E+06,87.9756,40.3593,-68.7324
417160,4.48E+06,72.8553,40.4556,-69.977
456052,4.48E+06,65.7047,40.4252,-69.5181
437532,4.48E+06,72.7255,40.4407,-69.7366
491240,4.47E+06,83.1276,40.393,-69.1032
507908,4.47E+06,84.3785,40.3763,-68.9068
474572,4.47E+06,77.443,40.4093,-69.2997
419012,4.48E+06,72.7761,40.4558,-69.9552
524576,4.47E+06,88.3379,40.3593,-68.7106
439384,4.48E+06,71.6454,40.4409,-69.7147
457904,4.48E+06,63.9837,40.4253,-69.4963
493092,4.47E+06,86.8938,40.393,-69.0814
509760,4.47E+06,83.1629,40.3763,-68.885
420864,4.48E+06,73.2324,40.456,-69.9333
476424,4.47E+06,73.6634,40.4094,-69.2779
